45 408 341
251 185 9 0
254 182 9 0
255 180 9 0
251 178 9 0
253 177 9 0
121 173 8 0
125 172 8 0
122 169 8 0
120 168 8 0
122 167 8 0
195 172 7 1
192 170 7 1
198 169 7 1
199 166 7 1
193 164 7 1
219 155 6 1
220 154 6 1
220 152 6 1
219 152 6 1
225 151 6 1
225 133 5 1
228 130 5 1
227 127 5 1
225 127 5 1
223 126 5 1
165 128 4 0
165 126 4 0
163 124 4 0
170 122 4 0
164 121 4 0
348 93 3 0
347 93 3 0
352 92 3 0
355 87 3 0
348 87 3 0
253 92 2 0
250 89 2 0
254 85 2 0
249 85 2 0
248 85 2 0
55 19 1 0
56 17 1 0
51 16 1 0
52 14 1 0
56 13 1 0
