486 408 341
273 188 -1 0
276 187 -1 0
275 187 -1 0
274 187 -1 0
273 187 -1 0
272 187 -1 0
271 187 -1 0
270 187 -1 0
151 187 -1 0
277 186 -1 0
276 186 -1 0
275 186 -1 0
274 186 -1 0
273 186 -1 0
272 186 -1 0
271 186 -1 0
270 186 -1 0
269 186 -1 0
154 186 -1 0
153 186 -1 0
152 186 -1 0
151 186 -1 0
150 186 -1 0
149 186 -1 0
148 186 -1 0
277 185 -1 0
276 185 -1 0
275 185 -1 0
274 185 -1 0
273 185 -1 0
272 185 -1 0
271 185 -1 0
270 185 -1 0
269 185 -1 0
155 185 -1 0
154 185 -1 0
153 185 -1 0
152 185 -1 0
151 185 -1 0
150 185 -1 0
149 185 -1 0
148 185 -1 0
147 185 -1 0
277 184 -1 0
276 184 -1 0
275 184 -1 0
274 184 -1 0
273 184 -1 0
272 184 -1 0
271 184 -1 0
270 184 -1 0
269 184 -1 0
155 184 -1 0
154 184 -1 0
153 184 -1 0
152 184 -1 0
151 184 -1 0
150 184 -1 0
149 184 -1 0
148 184 -1 0
147 184 -1 0
278 183 -1 0
277 183 -1 0
276 183 -1 0
275 183 -1 0
274 183 -1 0
273 183 -1 0
272 183 -1 0
271 183 -1 0
270 183 -1 0
269 183 -1 0
268 183 -1 0
155 183 -1 0
154 183 -1 0
153 183 -1 0
152 183 -1 0
151 183 -1 0
150 183 -1 0
149 183 -1 0
148 183 -1 0
147 183 -1 0
277 182 -1 0
276 182 -1 0
275 182 -1 0
274 182 -1 0
273 182 -1 0
272 182 -1 0
271 182 -1 0
270 182 -1 0
269 182 -1 0
156 182 -1 0
155 182 -1 0
154 182 -1 0
153 182 -1 0
152 182 -1 0
151 182 -1 0
150 182 -1 0
149 182 -1 0
148 182 -1 0
147 182 -1 0
146 182 -1 0
277 181 -1 0
276 181 -1 0
275 181 -1 0
274 181 -1 0
273 181 -1 0
272 181 -1 0
271 181 -1 0
270 181 -1 0
269 181 -1 0
155 181 -1 0
154 181 -1 0
153 181 -1 0
152 181 -1 0
151 181 -1 0
150 181 -1 0
149 181 -1 0
148 181 -1 0
147 181 -1 0
277 180 -1 0
276 180 -1 0
275 180 -1 0
274 180 -1 0
273 180 -1 0
272 180 -1 0
271 180 -1 0
270 180 -1 0
269 180 -1 0
155 180 -1 0
154 180 -1 0
153 180 -1 0
152 180 -1 0
151 180 -1 0
150 180 -1 0
149 180 -1 0
148 180 -1 0
147 180 -1 0
276 179 -1 0
275 179 -1 0
274 179 -1 0
273 179 -1 0
272 179 -1 0
271 179 -1 0
270 179 -1 0
155 179 -1 0
154 179 -1 0
