902 408 341
253 323 -1 0
256 322 -1 0
255 322 -1 0
254 322 -1 0
253 322 -1 0
252 322 -1 0
251 322 -1 0
250 322 -1 0
257 321 -1 0
256 321 -1 0
255 321 -1 0
254 321 -1 0
253 321 -1 0
252 321 -1 0
251 321 -1 0
250 321 -1 0
249 321 -1 0
257 320 -1 0
256 320 -1 0
255 320 -1 0
254 320 -1 0
253 320 -1 0
252 320 -1 0
251 320 -1 0
250 320 -1 0
249 320 -1 0
257 319 -1 0
256 319 -1 0
255 319 -1 0
254 319 -1 0
253 319 -1 0
252 319 -1 0
251 319 -1 0
250 319 -1 0
249 319 -1 0
258 318 -1 0
257 318 -1 0
256 318 -1 0
255 318 -1 0
254 318 -1 0
253 318 -1 0
252 318 -1 0
251 318 -1 0
250 318 -1 0
249 318 -1 0
248 318 -1 0
257 317 -1 0
256 317 -1 0
255 317 -1 0
254 317 -1 0
253 317 -1 0
252 317 -1 0
251 317 -1 0
250 317 -1 0
249 317 -1 0
257 316 -1 0
256 316 -1 0
255 316 -1 0
254 316 -1 0
253 316 -1 0
252 316 -1 0
251 316 -1 0
250 316 -1 0
249 316 -1 0
257 315 -1 0
256 315 -1 0
255 315 -1 0
254 315 -1 0
253 315 -1 0
252 315 -1 0
251 315 -1 0
250 315 -1 0
249 315 -1 0
256 314 -1 0
255 314 -1 0
254 314 -1 0
253 314 -1 0
252 314 -1 0
251 314 -1 0
250 314 -1 0
253 313 -1 0
261 228 -1 0
264 227 -1 0
263 227 -1 0
262 227 -1 0
261 227 -1 0
260 227 -1 0
259 227 -1 0
258 227 -1 0
265 226 -1 0
264 226 -1 0
263 226 -1 0
262 226 -1 0
261 226 -1 0
260 226 -1 0
259 226 -1 0
258 226 -1 0
257 226 -1 0
265 225 -1 0
264 225 -1 0
263 225 -1 0
262 225 -1 0
261 225 -1 0
260 225 -1 0
259 225 -1 0
258 225 -1 0
257 225 -1 0
265 224 -1 0
264 224 -1 0
263 224 -1 0
262 224 -1 0
261 224 -1 0
260 224 -1 0
259 224 -1 0
258 224 -1 0
257 224 -1 0
266 223 -1 0
265 223 -1 0
264 223 -1 0
263 223 -1 0
262 223 -1 0
261 223 -1 0
260 223 -1 0
259 223 -1 0
258 223 -1 0
257 223 -1 0
256 223 -1 0
265 222 -1 0
264 222 -1 0
263 222 -1 0
262 222 -1 0
261 222 -1 0
260 222 -1 0
259 222 -1 0
258 222 -1 0
257 222 -1 0
265 221 -1 0
264 221 -1 0
263 221 -1 0
262 221 -1 0
261 221 -1 0
260 221 -1 0
259 221 -1 0
258 221 -1 0
257 221 -1 0
265 220 -1 0
264 220 -1 0
263 220 -1 0
262 220 -1 0
261 220 -1 0
260 220 -1 0
259 220 -1 0
258 220 -1 0
257 220 -1 0
264 219 -1 0
263 219 -1 0
262 219 -1 0
261 219 -1 0
260 219 -1 0
259 219 -1 0
258 219 -1 0
261 218 -1 0
206 194 -1 1
209 193 -1 1
208 193 -1 1
207 193 -1 1
206 193 -1 1
205 193 -1 1
204 193 -1 1
203 193 -1 1
210 192 -1 1
209 192 -1 1
208 192 -1 1
207 192 -1 1
206 192 -1 1
205 192 -1 1
204 192 -1 1
203 192 -1 1
202 192 -1 1
210 191 -1 1
209 191 -1 1
208 191 -1 1
207 191 -1 1
206 191 -1 1
205 191 -1 1
204 191 -1 1
