10808 408 341
170 310 -1 0
173 309 -1 0
172 309 -1 0
171 309 -1 0
170 309 -1 0
169 309 -1 0
168 309 -1 0
167 309 -1 0
94 309 -1 0
174 308 -1 0
173 308 -1 0
172 308 -1 0
171 308 -1 0
170 308 -1 0
169 308 -1 0
168 308 -1 0
167 308 -1 0
166 308 -1 0
97 308 -1 0
96 308 -1 0
95 308 -1 0
94 308 -1 0
93 308 -1 0
92 308 -1 0
91 308 -1 0
174 307 -1 0
173 307 -1 0
172 307 -1 0
171 307 -1 0
170 307 -1 0
169 307 -1 0
168 307 -1 0
167 307 -1 0
166 307 -1 0
165 307 -1 0
98 307 -1 0
97 307 -1 0
96 307 -1 0
95 307 -1 0
94 307 -1 0
93 307 -1 0
92 307 -1 0
91 307 -1 0
90 307 -1 0
245 306 -1 0
244 306 -1 0
174 306 -1 0
173 306 -1 0
172 306 -1 0
171 306 -1 0
170 306 -1 0
169 306 -1 0
168 306 -1 0
167 306 -1 0
166 306 -1 0
165 306 -1 0
99 306 -1 0
98 306 -1 0
97 306 -1 0
96 306 -1 0
95 306 -1 0
94 306 -1 0
93 306 -1 0
92 306 -1 0
91 306 -1 0
90 306 -1 0
321 305 -1 0
318 305 -1 0
313 305 -1 0
298 305 -1 0
296 305 -1 0
248 305 -1 0
247 305 -1 0
246 305 -1 0
245 305 -1 0
244 305 -1 0
243 305 -1 0
242 305 -1 0
241 305 -1 0
175 305 -1 0
174 305 -1 0
173 305 -1 0
172 305 -1 0
171 305 -1 0
170 305 -1 0
169 305 -1 0
168 305 -1 0
167 305 -1 0
166 305 -1 0
165 305 -1 0
100 305 -1 0
99 305 -1 0
98 305 -1 0
97 305 -1 0
96 305 -1 0
95 305 -1 0
94 305 -1 0
93 305 -1 0
92 305 -1 0
91 305 -1 0
90 305 -1 0
324 304 -1 0
323 304 -1 0
322 304 -1 0
321 304 -1 0
320 304 -1 0
319 304 -1 0
318 304 -1 0
317 304 -1 0
316 304 -1 0
315 304 -1 0
314 304 -1 0
313 304 -1 0
312 304 -1 0
311 304 -1 0
310 304 -1 0
301 304 -1 0
300 304 -1 0
299 304 -1 0
298 304 -1 0
297 304 -1 0
296 304 -1 0
295 304 -1 0
294 304 -1 0
293 304 -1 0
285 304 -1 0
283 304 -1 0
265 304 -1 0
258 304 -1 0
255 304 -1 0
254 304 -1 0
249 304 -1 0
248 304 -1 0
247 304 -1 0
246 304 -1 0
245 304 -1 0
244 304 -1 0
243 304 -1 0
242 304 -1 0
241 304 -1 0
240 304 -1 0
174 304 -1 0
173 304 -1 0
172 304 -1 0
171 304 -1 0
170 304 -1 0
169 304 -1 0
168 304 -1 0
167 304 -1 0
166 304 -1 0
165 304 -1 0
164 304 -1 0
100 304 -1 0
99 304 -1 0
98 304 -1 0
97 304 -1 0
96 304 -1 0
95 304 -1 0
94 304 -1 0
93 304 -1 0
92 304 -1 0
91 304 -1 0
90 304 -1 0
89 304 -1 0
325 303 -1 0
324 303 -1 0
323 303 -1 0
322 303 -1 0
321 303 -1 0
320 303 -1 0
319 303 -1 0
318 303 -1 0
317 303 -1 0
316 303 -1 0
315 303 -1 0
314 303 -1 0
313 303 -1 0
312 303 -1 0
311 303 -1 0
310 303 -1 0
309 303 -1 0
302 303 -1 0
301 303 -1 0
300 303 -1 0
299 303 -1 0
298 303 -1 0
297 303 -1 0
296 303 -1 0
295 303 -1 0
294 303 -1 0
293 303 -1 0
292 303 -1 0
288 303 -1 0
287 303 -1 0
286 303 -1 0
285 303 -1 0
284 303 -1 0
283 303 -1 0
282 303 -1 0
281 303 -1 0
280 303 -1 0
268 303 -1 0
267 303 -1 0
266 303 -1 0
265 303 -1 0
264 303 -1 0
263 303 -1 0
262 303 -1 0
261 303 -1 0
260 303 -1 0
259 303 -1 0
258 303 -1 0
257 303 -1 0
256 303 -1 0
255 303 -1 0
254 303 -1 0
253 303 -1 0
252 303 -1 0
251 303 -1 0
250 303 -1 0
249 303 -1 0
248 303 -1 0
247 303 -1 0
246 303 -1 0
245 303 -1 0
244 303 -1 0
243 303 -1 0
242 303 -1 0
241 303 -1 0
240 303 -1 0
174 303 -1 0
173 303 -1 0
172 303 -1 0
171 303 -1 0
170 303 -1 0
169 303 -1 0
168 303 -1 0
167 303 -1 0
166 303 -1 0
165 303 -1 0
100 303 -1 0
99 303 -1 0
98 303 -1 0
97 303 -1 0
96 303 -1 0
95 303 -1 0
94 303 -1 0
93 303 -1 0
92 303 -1 0
91 303 -1 0
90 303 -1 0
325 302 -1 0
324 302 -1 0
323 302 -1 0
322 302 -1 0
321 302 -1 0
320 302 -1 0
319 302 -1 0
318 302 -1 0
317 302 -1 0
316 302 -1 0
315 302 -1 0
314 302 -1 0
313 302 -1 0
312 302 -1 0
311 302 -1 0
310 302 -1 0
309 302 -1 0
302 302 -1 0
301 302 -1 0
300 302 -1 0
299 302 -1 0
298 302 -1 0
297 302 -1 0
296 302 -1 0
295 302 -1 0
294 302 -1 0
293 302 -1 0
292 302 -1 0
289 302 -1 0
288 302 -1 0
287 302 -1 0
286 302 -1 0
285 302 -1 0
284 302 -1 0
283 302 -1 0
282 302 -1 0
281 302 -1 0
280 302 -1 0
279 302 -1 0
269 302 -1 0
268 302 -1 0
267 302 -1 0
266 302 -1 0
265 302 -1 0
264 302 -1 0
263 302 -1 0
262 302 -1 0
261 302 -1 0
260 302 -1 0
259 302 -1 0
258 302 -1 0
257 302 -1 0
256 302 -1 0
255 302 -1 0
254 302 -1 0
253 302 -1 0
252 302 -1 0
251 302 -1 0
250 302 -1 0
249 302 -1 0
248 302 -1 0
247 302 -1 0
246 302 -1 0
245 302 -1 0
244 302 -1 0
