891 408 341
198 276 -1 0
201 275 -1 0
200 275 -1 0
199 275 -1 0
198 275 -1 0
197 275 -1 0
196 275 -1 0
195 275 -1 0
202 274 -1 0
201 274 -1 0
200 274 -1 0
199 274 -1 0
198 274 -1 0
197 274 -1 0
196 274 -1 0
195 274 -1 0
194 274 -1 0
202 273 -1 0
201 273 -1 0
200 273 -1 0
199 273 -1 0
198 273 -1 0
197 273 -1 0
196 273 -1 0
195 273 -1 0
194 273 -1 0
202 272 -1 0
201 272 -1 0
200 272 -1 0
199 272 -1 0
198 272 -1 0
197 272 -1 0
196 272 -1 0
195 272 -1 0
194 272 -1 0
203 271 -1 0
202 271 -1 0
201 271 -1 0
200 271 -1 0
199 271 -1 0
198 271 -1 0
197 271 -1 0
196 271 -1 0
195 271 -1 0
194 271 -1 0
193 271 -1 0
202 270 -1 0
201 270 -1 0
200 270 -1 0
199 270 -1 0
198 270 -1 0
197 270 -1 0
196 270 -1 0
195 270 -1 0
194 270 -1 0
202 269 -1 0
201 269 -1 0
200 269 -1 0
199 269 -1 0
198 269 -1 0
197 269 -1 0
196 269 -1 0
195 269 -1 0
194 269 -1 0
202 268 -1 0
201 268 -1 0
200 268 -1 0
199 268 -1 0
198 268 -1 0
197 268 -1 0
196 268 -1 0
195 268 -1 0
194 268 -1 0
201 267 -1 0
200 267 -1 0
199 267 -1 0
198 267 -1 0
197 267 -1 0
196 267 -1 0
195 267 -1 0
198 266 -1 0
189 263 -1 0
192 262 -1 0
191 262 -1 0
190 262 -1 0
189 262 -1 0
188 262 -1 0
187 262 -1 0
186 262 -1 0
193 261 -1 0
192 261 -1 0
191 261 -1 0
190 261 -1 0
189 261 -1 0
188 261 -1 0
187 261 -1 0
186 261 -1 0
185 261 -1 0
193 260 -1 0
192 260 -1 0
191 260 -1 0
190 260 -1 0
189 260 -1 0
188 260 -1 0
187 260 -1 0
186 260 -1 0
185 260 -1 0
193 259 -1 0
192 259 -1 0
191 259 -1 0
190 259 -1 0
189 259 -1 0
188 259 -1 0
187 259 -1 0
186 259 -1 0
185 259 -1 0
194 258 -1 0
193 258 -1 0
192 258 -1 0
191 258 -1 0
190 258 -1 0
189 258 -1 0
188 258 -1 0
187 258 -1 0
186 258 -1 0
185 258 -1 0
184 258 -1 0
193 257 -1 0
192 257 -1 0
191 257 -1 0
190 257 -1 0
189 257 -1 0
188 257 -1 0
187 257 -1 0
186 257 -1 0
185 257 -1 0
193 256 -1 0
192 256 -1 0
191 256 -1 0
190 256 -1 0
189 256 -1 0
188 256 -1 0
187 256 -1 0
186 256 -1 0
185 256 -1 0
193 255 -1 0
192 255 -1 0
191 255 -1 0
190 255 -1 0
189 255 -1 0
188 255 -1 0
187 255 -1 0
186 255 -1 0
185 255 -1 0
192 254 -1 0
191 254 -1 0
190 254 -1 0
189 254 -1 0
188 254 -1 0
187 254 -1 0
186 254 -1 0
189 253 -1 0
188 242 -1 0
191 241 -1 0
190 241 -1 0
189 241 -1 0
188 241 -1 0
187 241 -1 0
186 241 -1 0
185 241 -1 0
192 240 -1 0
191 240 -1 0
190 240 -1 0
189 240 -1 0
188 240 -1 0
187 240 -1 0
186 240 -1 0
185 240 -1 0
184 240 -1 0
192 239 -1 0
191 239 -1 0
190 239 -1 0
189 239 -1 0
188 239 -1 0
187 239 -1 0
186 239 -1 0
185 239 -1 0
184 239 -1 0
192 238 -1 0
191 238 -1 0
190 238 -1 0
189 238 -1 0
